dandiset_id url upload_quarter	owner	dandi_publication_status	program_grant	number_of_cells
000569	https://dandiarchive.org/dandiset/000569	23Q2	Nick Mei, Brian Lee	Published	BICAN HMBA	103
000635	https://dandiarchive.org/dandiset/000635	23Q3	Sherif Soliman	Published	BICAN HMBA	81
000768	https://dandiarchive.org/dandiset/000768	23Q4	Sherif Soliman	Published	BICAN HMBA	51
001348	https://dandiarchive.org/dandiset/001348	25Q1	Sherif Soliman, Nicholas Mei, Limary Gonzalez	Published	BICAN HMBA	556
001465	https://dandiarchive.org/dandiset/001465	25Q2	Limary Gonzalez	Published	BICAN HMBA	308
001626	https://dandiarchive.org/dandiset/001626	25Q3	Limary Gonzalez	Published	BICAN HMBA	128
001753	https://dandiarchive.org/dandiset/001753	26Q1	Limary Gonzalez	Published	BICAN HMBA	112
